Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
金艺,金艺,金艺，阜新职业技术学院外语系副教授，院教学名师。1985年毕业于阜阳师范学院。
龙士达,龙士达,龙士达控股集团总部设在辽宁沈阳，是东北最大的集设计研发、产销承包、安装制造于一体的大型综合性生产企业。
左旋,左旋,左旋断层：两盘作逆时针剪切的平移断层称左旋或左行平移断层。判断走滑断层的左旋还是右旋，主要依靠断层组合，一般走滑断层都会伴生一系列雁列式断层，有的直接与主断层相交，有的不相交，查看伴生断层或者伴生断层延长线与主断层相交锐角所指方向，极为断层的走滑性质，逆时针方向为左旋，顺时针方向为右旋。
秀色,秀色,“秀色-最娱乐的社交平台”是由北京思享时光科技有限公司出品并目前主打的娱乐化移动互联网产品，是全球首款全方位自我展示并参与PK选秀的移动互联网娱乐社交平台。面向全民大众，人人都可以通过秀色这个平台展示自己的美丽与才艺，结识更多好友，并成为真正的明日之星，同时秀色也是移动互联网娱乐社交平台的开创者和领导者。并更为真实的为时下俊男靓女提供一个选秀PK的娱乐化社交平台。您可随时随地通过与好友互动让美丽脱颖而出，实现你的美丽梦想。秀色作为一个关于美丽的娱乐化社交舞台，倡导“敢秀就美丽，自信就美丽，亲和就美丽和坚持就美丽”的现代社会生活新主张，在这样的舞台张扬时代个性，展示自我魅力。
唐域,唐域,《唐域》是连载于起点中文网的网络小说，作者是风清竹逸。
Wsd,WSD,WSD是WesternServiceDistrict（首都西部综合服务区）的英文缩写，是继朝阳区CBD，石景山区CRD之后的又一**D力作。面对首都新一轮发展的战略机遇期，门头沟区按照生态涵养发展区和首都西部综合服务区的功能定位，抓紧发展机遇描绘未来蓝图，提出加快建设新城区，规划发展浅山区，保护涵养深山区，重点发展旅游文化休闲产业，按照“一带、两线、三点”的空间发展布局，全力建设首都西部综合服务区（WesternServiceDistrict，简称WSD）的发展思路。
Haier,海尔,海尔集团创业于1984年，是全球大型家电品牌，目前已从传统制造家电产品的企业转型为面向全社会孵化创客的平台。在互联网时代，海尔致力于成为互联网企业，颠覆传统企业自成体系的封闭系统，变成网络互联中的节点，互联互通各种资源，打造共创共赢新平台，实现攸关各方的共赢增值。 2017天猫双十一“亿元俱乐部”榜单显示，海尔位列第三名。 
高德,高德,高德是国内领先的数字地图内容、导航和位置服务解决方案提供商。自2002年起步以来，经过十二年的不懈努力和艰辛探索，积累了扎实的技术，构筑了地图行业高壁垒，公司在各项业务取得重大发展的同时成为行业翘楚。2010年，高德提出了向移动互联网转型的战略，依托在汽车导航市场取得的领先地位，在产品、服务和商务模式上继续不断创新，迅速构建起支撑各类产品和服务海量用户的“地图云服务”平台，努力实现基于“四屏一云”业务构架的“移动生活位置服务门户”战略。2013年5月，高德获阿里巴巴2.94亿美元投资，双方达成战略合作协议。2014年4月，高德正式与阿里巴巴集团达成并购协议。 
佐太,佐太,佐太亦称为“佐塔”（康巴语）、“佐台”（卫藏、安多语）、“坐台”，国外翻译为“gTsothal”、“zogta”、“Tsothay”、“Tsothel”。
春鹿,水鹿,水鹿（学名：Rusaunicolor）体型粗壮接近马鹿。成年雄鹿体高130厘米左右，体长130～140厘米，体重200～250千克。雌鹿较矮小。水鹿泪窝较大，鼻镜黑色，颈毛较长，尾端部密生蓬松的黑色长毛。被毛黑褐色，冬毛深灰色。有黑棕色背线，臀周围呈锈棕色，无臀斑。茸角为单门桩，眉枝。喜水，常活动于水边，栖息于阔叶林、混交林、稀树的草场和高草地带，清晨、黄昏觅食。雨后特别活跃。平时单独活动，有一定的行动路线。分布于中国、斯里兰卡、印度、尼泊尔、中南半岛以及东南亚等地区。该物种已列入《世界自然保护联盟》（IUCN）2013年濒危物种红色名录ver3.1—-濒危（EN）。
Midea,美的集团,美的集团 （SZ.000333）是一家领先的消费电器、 暖通空调、机器人及工业自动化系统、智能供应链（物流） 的科技集团 。美的集团提供多元化的产品和服务，包括以厨房家电、冰箱、洗衣机、及各类小家电的消费电器业务、以家用空调、中央空调、供暖及通风系统的暖通空调业务；以德国库卡集团、安川机器人合资公司等为核心的机器人及 工业自动化系统业务、以安得智联为集成解决方案服务平台的智能供应链业务 。美的坚守“为客户创造价值”的原则，致力创造美好生活。美的专注于持续的技术革新，以提升产品及服务质量，令生 活更舒适、更美好。美的于1968年成立于中国顺德，现总部位于广东顺德北滘新城内。迄今已建立遍布全球业务平台。美的在世界范围内拥有约200家子公司、60多个海外分支机构及10个战略业务单位，同时为德国库卡集团最主要股东 （约95%）。2015年1月8日，《房间空气调节器节能关键技术研究及产业化》获得“国家科技进步奖”二等奖。2016年7月20日，美的集团以221.73亿美元的营业收入首次进入《财富》世界500强名单，位列第481位。 2017年5月25日，福布斯2017全球企业2000强榜单正式出炉，美的位列335名。 1月5日，腾讯QQ和美的集团在深圳正式签署战略合作协议，双方将共同构建基于IP授权与物联云技术的深度合作，实现家电产品的连接、对话和远程控制。 2017天猫双十一“亿元俱乐部”榜单显示，美的位列第二名。 
城邑,城邑,城邑（yì）即城市，是古代城市的统称。早在龙山文化时期，齐地就出现了我国最早的城。仅淄博市桓台县境内，存留的古邑遗址，就有璞邱邑、渠邱邑、棘邑、狄邑等。由此可见，当时城邑之多了。
玉麒麟,卢俊义,卢俊义是中国著名古典小说《水浒传》中的经典人物形象之一，绰号“玉麒麟”，武艺高强，棍棒天下无双，江湖人称“河北三绝”，祖居北京大名府（今河北省邯郸市大名县），有妻子贾氏、管家李固、仆人燕青。原本是河北大名府富商、大财主、员外，被吴用等人利用李固与贾氏的奸情，使计赚上梁山，后来成为梁山第二首领。卢俊义和宋江一同受招安后，征讨了辽国、田虎、王庆、方腊，官至武功大夫、卢州安抚使。蔡京等奸臣传召卢俊义回京，把水银放在皇帝赐给他的饭菜中，卢俊义痛得无法骑马，只好坐船回庐州，途中失足落水溺死。 在《说岳全传》中，卢俊义是周侗的徒弟，与林冲、岳飞是师兄弟，这种说法流传极广。而后世的大量评书等衍生文学作品中，又加入了史文恭是卢俊义师兄弟的说法，在民间多次卢俊义被塑造成水浒中第一猛将。 
贝锦,贝锦,贝锦，汉语词汇。拼音：bèijǐn释义：1、指像贝的文采一样美丽的织锦。2、喻诬陷他人、罗织成罪的谗言。
格然,格然,格然地板(GERANFLOOR)是浙江格然木业的主打品牌，格然木业旗下除地板外兼产整体定制家居，整体橱柜。
曼珠,曼珠,曼珠（mànzhūㄇㄢˋㄓㄨ），是一个汉语词汇，同“曼殊”出自《郎潜纪闻》。
Luminarc,Luminarc,Luminarc（乐美雅）是弓箭旗下的一个纯玻璃制品品牌。Luminarc（乐美雅）是目前国内质量最好最贵的玻璃器皿品牌之一，与集团公司法国弓箭一样，乐美雅品牌至今已有180多年的历史，在全世界范围内享受美誉。Luminarc（乐美雅）品牌传承百年玻璃制作工艺，融合高科技尖端技术，将艺术与时尚容入设计，呈现超越产品的生活艺术。
简艺,简艺,
御景,御景,
挑三拣四,挑三拣四,挑三拣四，读音是tiāosānjiǎnsì，是一个汉语词语，释义是指挑挑拣拣，嫌这嫌那。
天窗,天窗,
魔法精灵,魔发精灵,《魔发精灵》是由梦工场制作的3D动画电影，由迈克·米歇尔、沃尔特·道恩联合执导，安娜·肯德里克、贾斯汀·汀布莱克、克里斯汀·芭伦斯基、佐伊·丹斯切尔等参与配音。该片由中国电影集团公司引进中国 。该片讲述快乐的精灵公主波比和不合拍的布兰合作拯救精灵们的故事。该片于2016年10月28日在中国上映 ，同年11月4日在北美上映 。
五光十色,五光十色,五光十色是一个成语，读音是wǔguāngshísè，形容色彩鲜艳，花样繁多，颜色光彩鲜艳多色。出自南朝梁·江淹的《丽色赋》。
雨航,雨航,Drgon播音名雨航，福建福州人。现任江西人民广播电台信息交通广播FM105.4AutoRadio节目经理。曾为江西人民广播电台信息交通广播MYFM96.9的早间节目《活力DNA》的主持人。凭借与生俱来的辨识度极高的“港台腔”为南昌的听众所熟识。
文博,文博,文博，4月18日出生于吉林，毕业于吉林艺术学院，中国内地女歌手。2010年出版发行个人第一张音乐专辑《相约春天》。文博身材纤细、面容秀气、歌声甜美，初见她的人都以为她是南方姑娘，其实她是位地道的吉林籍歌手，好友都亲切地叫她“文博格格”。
纽盾,纽盾,
辛格,曼莫汉·辛格,曼莫汉·辛格（ManmohanSingh，1932年9月26日－），印度资深政治家，印度国民大会党元老，印度前总理。辛格在1991年至1996年任印度财政部长期间，进行了前所未有的经济改革，打破了束缚印度经济增长的种种枷锁，使印度经济步入高速发展的轨道，也被誉为“印度经济改革之父”。 2004年5月19日被总统任命为新总理。2014年1月3日，印度总理辛格召开新闻发布会，明确表示在5月份大选之后将下台，不会寻求第三任期。 
KITO,Kito,Kito莫桑比克籍足球运动员。
KMC,kmc,kmc即卡拉ok媒体歌词（KaraokeMediaLyric），用于媒体播放时，显示卡拉ok式的歌词信息或字幕信息，kmc将采用标准的xml为数据格式，仅包含卡拉ok歌词或字幕的基本数据，支持跨平台且易于移植扩展。
卡莱雅,卡莱雅,卡莱雅整体衣柜广州有限公司依托独特的设计技术，秉承卡莱雅设计风格，专业生产销售个性化的入墙式家居高端产品。
宝典,宝典,拼音：bǎodiǎn译文：bible极珍贵的书籍。也用做书名，如隋代杜台卿著有《玉烛宝典》
迪士尼,迪士尼,全球闻名遐迩的迪士尼，全称为TheWaltDisneyCompany，取名自其创始人华特·迪士尼，是总部设在美国伯班克的大型跨国公司，主要业务包括娱乐节目制作，主题公园，玩具，图书，电子游戏和传媒网络。皮克斯动画工作室（PIXARAnimationStudio）、惊奇漫画公司（MarvelEntertainmentInc）、试金石电影公司（TouchstonePictures）、米拉麦克斯（Miramax）电影公司、博伟影视公司（BuenaVistaHomeEntertainment）、好莱坞电影公司（HollywoodPictures）、ESPN体育，美国广播公司（ABC）都是其旗下的公司（品牌）。迪士尼于2012年11月收购了卢卡斯影业。2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，迪士尼排名第18位。 
猫和老鼠,猫和老鼠,《猫和老鼠》（TomandJerry）是米高梅电影公司于1939年制作的一部动画片，该片由威廉·汉纳、约瑟夫·巴伯拉编写，弗雷德·昆比制作，首部剧集《甜蜜的家》于1940年2月10日在美国首播 。《猫和老鼠》以闹剧为特色，描绘了一对水火不容的冤家：汤姆和杰瑞猫鼠之间的战争，片中的汤姆经常使用狡诈的诡计来对付杰瑞，而杰瑞则时常利用汤姆诡计中的漏洞逃脱他的迫害并给予报复 。
美展,美展,美展是建于1998年的北京迪雅展览展示有限公司和北京迪雅东南科技发展有限公司自2007年整合重组并推行集团化运营以来，所打造的多元化、跨行业大型经济实体，是美展多家关联企业的经典和标杆，是中国博物馆协会理事，中国展览馆协会常务理事，中国丝网印刷行业协会常务理事，中国网印及制像协会常务理事单位。
理查德,理查德·米尔豪斯·尼克松,理查德·米尔豪斯·尼克松（RichardMilhousNixon，1913年1月9日－1994年4月22日），美国著名政治家，美国第34任副总统（1953－1961）及第37任总统（1969－1974）。尼克松于1974年辞职，成为美国历史上第一位在任期内辞职的总统。他曾在1972年和1976年两度访华，是首位在任期间访华的美国总统，被称为“中国人民的老朋友”。
贝尔金,贝尔金,贝尔金公司(BelkinCorporation)是周边产品的全球领先厂商，为电脑、数码和移动产品的用户提供创新的连接技术。2018年3月，鸿海在香港的子公司鸿腾宣布以8.66亿美元并购美国消费电子制造商贝尔金。 
网盾,网盾,网盾是在网络上可完全抵御各种ACK、DOS、DDOS、SYN等攻击的防御手段。这其中包括有：“主页保护”、“浏览器一键修复”、“广告过滤”、“网址黑名单”、“搜索引擎保护”、“下载文件保护”和“默认浏览器保护”以及“网页木马病毒拦截”等功能。
诺贝尔,阿尔弗雷德·贝恩哈德·诺贝尔,阿尔弗雷德·贝恩哈德·诺贝尔，瑞典化学家、工程师、发明家、军工装备制造商和炸药的发明者，1833年10月21日出生于斯德哥尔摩，1896年12月10日逝世。诺贝尔一生拥有355项专利发明，并在欧美等五大洲20个国家开设了约100家公司和工厂，积累了巨额财富。1895年，诺贝尔立嘱将其遗产的大部分（约920万美元）作为基金，将每年所得利息分为5份，设立诺贝尔奖，分为物理学奖、化学奖、生理学或医学奖、文学奖及和平奖5种奖金（1969年瑞典银行增设经济学奖），授予世界各国在这些领域对人类作出重大贡献的人。 为了纪念诺贝尔做出的贡献，人造元素锘（Nobelium）以诺贝尔命名。 
蓝羽,蓝羽,2015年1月16日晚22时起，电影频道CCTV6将连续六周，每周五晚播出一期90分钟的“中国影响力”青年导演剧情短片创作季《十强突围赛》特别节目。
金蝉,金蝉,金蝉，是昆虫纲同翅目蝉科昆虫的代表种，成虫又称蚱蝉、黑蝉，成熟若虫俗称爬拉猴、知了龟、知了猴、爬蚱等。成虫金蝉体长40～48毫米，翅展125毫米。全体黑色，有光泽，被有金属光泽。复眼淡赤褐色。头的前缘中央及颊上方各有黄褐色斑一块。中胸背板宽大，中央有黄褐色“X”形隆起。前后翅透明。前翅前缘淡黄褐色，基部黑色，亚前缘室黑色，前翅基部1/3黑色，翅基室黑色，具一淡黄褐色斑点；后翅基部2/5黑色，翅脉淡黄色及暗黑色。足淡黄褐色。金蝉具有高蛋白、高营养、纯天然、无公害、纯绿色等特点金蝉既为传统的一道药膳上品，也是我国一味常用中药材，在我国各个地区，特别是黄河中下游的广大地区早有食用金蝉的习惯。
绿秀,绿秀,绿秀果皮嫩绿，圆润无尖，油亮有光泽，果型棒状顺直，长35~40厘米，直径5~6厘米，果肉厚，果腔小，单瓜重500克以上。
XY,XY,XY是一个为男性消费者提供一站式生活用品解决方案的跨境电商平台APP。该平台最主要的品类是鞋、表和包袋，此外还包括护肤品、3C数码和一些长尾的新奇特商品等，定位客单价600~1500元的中端市场 。
致尚,致尚,在手机媒体初露锋芒、无线互联网业务方兴未艾之际，该如何在这个新的市场领域分到更大的蛋糕呢？面对不同受众和推广渠道，互动营销该如何更具针对性、高效性呢？致尚传媒已为此备下解决方案。
无印良品,无印良品,无印良品是一个日本杂货品牌，在日文中意为无品牌标志的好产品。产品类别以日常用品为主。产品注重纯朴、简洁、环保、以人为本等理念，在包装与产品设计上皆无品牌标志。产品类别从铅笔、笔记本、食品到厨房的基本用具都有。最近也开始进入房屋建筑、花店、咖啡店等产业类别。2017年3月15日，3·15晚会曝光，在无印良品超市，一些日本食品的外包装上都被贴上了产地为日本的中文标签，但是当揭开中文标签后，露出了这些产品的真实产地为东京都，名列禁止进口名单。2017年3月16日，无印良品在其官方微博和微信上发布声明，称被曝光的食品日文标识上所标示的地址是该公司在日本的注册所在地，而不是食品生产地址，并出具了原产地证明书和入境检疫检验证明。上海国检局随后也确认，“经核查无印良品(上海)商业有限公司的进口记录，未发现有来自于日本核辐射地区的产品。” 
初艺,初艺,
若朗,若朗,若朗是一位网络最具亲和力主播、情感分析解答师，主持策划节目《心若朗月》，《情感夜星空》，《城市心情》，《光阴的故事》，《游来游去》等，热心解答情感问题帮助大家走出情感困惑。
VANWALK,vanwalk,VANWALK，著名时尚男士新锐品牌，中文译称“出走”，VANWALK崇尚愉快、轻松和自由，融合了西方与东方的魅力。不论是以西方的角度或是以东方的观点，都可以感受到对于世界融合的热情与渴望。或者年轻、性感与真实不仅仅是一种生理、心灵的状态，而是一种崇尚自由的时尚精神，VANWALK就是最好的印证！
维曼,维曼,维曼是一款抗感染药。本品为白色或类白色片。
尚田,尚田,尚田镇地处奉化区 境东南部，以平原为主，是中国草莓之乡、浙江鳗竹之乡和著名的布龙之乡。辖区面积156平方公里，总户数14486户，总人口43648人，下辖76个行政村，1个居委会。交通便捷，省道甬临线和沿海大通道同三线高速公路纵贯全镇。镇城区内基础设施配套齐全，电力资源充沛，供水宽裕，有万方以上水库43座，通讯设施完善，开通了万余门程控电话和移动电话。
京东白条,京东白条,“京东白条”，是京东推出的一种“先消费，后付款”的全新支付方式，在京东网站使用白条进行付款，可以享有最长30天的延后付款期或最长24期的分期付款方式，是业内第一款互联网消费金融产品。 此后，“白条”还打通了京东体系内的O2O(京东到家)、全球购、产品众筹，后来又逐步覆盖了租房、旅游、装修、教育、婚庆等领域，从赊购服务延伸到提供信用消费贷款，覆盖更多消费场景，为更多消费者提供信用消费服务。 
玉兰,玉兰,玉兰（MagnoliadenudataDesr.），木兰科落叶乔木，别名白玉兰、望春、玉兰花。原产于中国中部各省，现北京及黄河流域以南均有栽培。木兰科玉兰亚属，落叶乔木。花白色到淡紫红色，大型、芳香，花冠杯状，花先开放，叶子后长，花期10天左右。中国著名的花木，南方早春重要的观花树木。上海市市花。玉兰花外形极像莲花，盛开时，花瓣展向四方，使庭院青白片片，白光耀眼，具有很高的观赏价值；为美化庭院之理想花型。
一见如故,一见如故,一见如故是一个汉语成语，拼音是：yījiànrúgù，释义：初次见面就像老朋友一样，形容初次相见就情投意合。
心泊,心泊,
马图腾,马图腾,一部描写九〇后青年爱情与励志生活的长篇小说。作品通过三名属马同乡青年之间发生的故事，描写了他们纯真爱情与萌动性欲的相互交织，对美好理想执着追求与现实环境的奋力抗争，栩栩如生地塑造了被誉为“冷月马”、“火种马”、“追风马”一代青年人的典型形象。语言清新流畅，故事生动感人，结构严谨。是一部值得一读的好作品。
cica,CICA,亚洲相互协作与信任措施会议（简称亚信会议，ConferenceonInteractionandConfidence-BuildingMeasuresinAsia--CICA）是一个有关安全问题的多边论坛，其宗旨是在部分亚洲国家之间讨论加强合作、增加信任的措施。
Paul Frank,paul frank,PaulFrank（大嘴猴）是和CalvinKlein齐名的国际知名品牌。它以色彩缤纷、年轻、可爱、时尚感吸引无数狂热粉丝，成为一个全球化的流行潮牌，大嘴猴“Julius”的卡通造型已出现在服饰、鞋、童鞋、内衣、泳装、睡衣、家俱、腕表、太阳镜、童装、儿童卡通书和儿童自行车等各种系列产品上。PaulFrank（大嘴猴）的商品也已在美国、加拿大、欧洲、中东、澳大利亚、香港、台湾、韩国、日本、马来西亚、新加坡、泰国、中国大陆等各地销售，（全世界超过2000家店铺），商品成功植入了各种热播的影视作品，成为众多明星的宠儿，在世界各地大受欢迎。电影：例如《王牌大间谍/第二至第三集》、《美国派/第一至第二集》、《冒牌老爸》、《小姐好辣》。电视剧：例如《浪漫满屋》、《爱在日月潭》等。从美洲的小甜甜布兰妮，克里斯蒂娜·阿奎莱拉，到亚洲的宋慧乔，张柏芝等明星都是PaulFrank（大嘴猴）的超级粉丝。
zuny,金主美,金主美（김주미），1994年12月8日出生于韩国光州广域市，韩国女歌手，女子组合LADIES'CODE成员。2013年3月7日作为韩国女子组合LADIES'CODE的正式成员出道，并发行迷你专辑《CODE#01坏女人》 ；9月4日，公开动感迷你专辑《CODE#02Pretty!Pretty!》主打歌《PRETTYPRETTY》MV。2014年2月13日，随所属组合LADIES'CODE发行数码单曲《SoWonderful》回归韩国歌坛。2015年9月7日，推出抒情单曲《아파도웃을래(就算痛苦也要笑)》。2016年2月24日，随所属组合LADIES'CODE发行抒情专辑《MYST3RY》 。
泰域,泰域,泰域分布于印度洋：模里西斯，科摩洛，马尔地夫与塞锡尔群岛。在西太平洋中取代了藉由接近地讲豹纹扁背魨〔Canthigasterleoparda}Lubbock&艾伦1979世。栖息于清澈的泻湖与临海礁石。躲躲藏藏的，常见于洞或岩架下中。吃多种藻类，海绵与无脊椎动物。杂食性，体长最大9公分
FIORA,Fiora,《Fiora》是一款IOS平台的应用。
帅康,帅康集团,帅康集团坐落在杭州湾南岸宁波市余姚境内，是中国家电行业中以生产厨卫家电系列产品为主，以资产、技术、产品、管理为纽带，以帅康集团有限公司为核心，由32家企业组成的现代企业集团。总部地点：宁波余姚。
芳馨,芳馨,芳馨，汉语词汇。拼音：fāngxīn释义：指芳香，同时借指香草，也比喻美好的名声。又指祭品。
晟世,晟世,《晟世》是时间纪录创作的网络小说，发表于晋江文学网。
奥斯哥纳,奥斯哥纳,奥斯哥纳中国灯饰品牌。以“感-观-奢华”为品牌诉求，融汇世界各国传统文艺风人类生活哲学，主攻高端水晶灯市场。
金桥,金桥,金桥，全名：七匹狼-金桥，香烟的一个品牌，由福烟工业公司出品，中国烟草总公司专卖。该公司始于1995年，高档中式混合型卷烟知名品牌，较早具有“生态品质链”的卷烟品牌，烟草行业优秀企业。
康家,康家,康家地板-江西森源木业有限公司，成立于2006年，是现代地板行业中集产品研发、产品制造、销售服务为一体的知名企业。公司成立后，经过多年的发展壮大，现已成为“员工知识化、管理科学化、企业现代化、产品科技化”的专业木地板生产企业。
膳道,膳道,膳，简单的说就是关于我们的日常生活饮食，道，也可以简单的说是我们日常饮食中遵循一定的方式方法，让我们学会健康饮食。“膳道”健康管理始终把导致慢性病的主要健康危险因素——不健康的饮食和能量过剩、体力活动不足作为控制与管理目标，把世界卫生组织提出的健康四大基石“合理膳食、适量运动、戒烟限酒、心理平衡”从定性的理论变成量化的手段与措施，形成了一套行之有效的以“能量平衡、有效运动、量化管理”为核心内容的行为干预服务模式。
爱哟,爱哟,《爱哟》是陶晶莹2003年出版的小说，也是陶晶莹收录在专辑《我变了》中的歌曲。该小说讲述的是小雨、小米和Rita三个“青春已过一半却未找到另一半”的大女孩寻找真爱的故事。
Fackelmann,Fackelmann,法克曼家庭用品（深圳）有限公司是欧洲知名的家庭用品公司，FACKELMANNGMBH在中国投资的独资企业，产品欧陆风格，功能实用，材料环保，畅销全球。致力于打造中国厨用品的首选品牌。
宝齐莱,宝齐莱,宝齐莱是一钟表品牌。Archimedes奥奇米德18K玫瑰金万年历月相自动表是一只持久运行、永恒不息的手表。它的机械精确细致，报时格外精准，更有月相盈亏显示及自动因应润年而调校长短月份日子的功能。此外，当手腕活动时，自动盘可帮助手表自动上链。其透明表底，机芯运作一目了然。
卡格,卡格,
KS,ks,ks是最流行的十字绣，是用专用的绣线和十字格布，利用经纬交织的搭十字的方法，对照专用的坐标图案进行刺绣，任何人都可以绣出同样效果的一种刺绣方法。。
百安居,百安居,百安居是百安居（中国）投资有限公司简称，源自英国，是欧洲大型国际家居建材零售集团，1999年6月18日，百安居携其全球先进的零售管理经营模式，在上海成功开办了该品牌中国内地的第一家连锁店——上海沪太店。 经过多年的发展，百安居凭借其先进的管理经验和质量监督体系，目前已成为国内建材连锁超市的知名品牌，并且在北京、上海、深圳、广州等全国大中型城市开设了近40家门店。 
法迪奥,法迪奥,法迪奥是一家近二十年从事高端不锈钢产品自主研发与智造的专业品牌商，是美的、富士康的高端合作伙伴，同时也是全国最大的高端不锈钢的供应商之一，年产值近6个亿。法迪奥传承佛罗伦萨完美设计理念，款款国际设计名师巅峰之作，缔造田园古典和简约现代两大设计风格，提供了可享用半个世纪的品质保障和永久无甲醛释放的健康保障，真正为您的家人健康负责。 
喜玛拉雅,喜马拉雅,歌曲《喜马拉雅》选自韩红专辑《听我的声音》，由陈耶门作词，金武林作曲，2009年英泰华唱片出版并发行。
世达,世达,SATA世达是美国APEX集团在中国的全资子公司，主要经营手工具、汽保设备和个人劳防用品。用于汽车维修、保养，能源建设，轨道交通，机械制造，电子电工等众多行业。 SATA世达创立“终身保用”服务 ，已成为手工具服务标准；整合APEX集团技术成果 ，推出具有专利技术和创新理念产品 ；引进APEX在工程设计和整车服务方面经验，将业务拓展至汽保设备。SATA世达关注人的安全和健康 ，其个人劳防用品，方方面面的周到设计，满足专业人员在各类特定作业环境中的安全保护需求。  
德乐思,德乐思,德乐思，德国籍，男，1938年8月出生，国际著名数学家，中国科学院—马普学会计算生物学伙伴研究所首任执行所长、德国比勒菲尔德大学顾问。德乐思教授2005年全职来华工作，组建中国科学院和德国马普学会合作共建的计算生物学伙伴研究所，德乐思教授于2012年获得2011年度中华人民共和国国际科学技术合作奖。
蓝蚂蚁,蓝蚂蚁,蓝蚂蚁始建于2013年5月1日，全面专注电子商务。
奥士达,奥士达,奥士达®是美国Jarden集团旗下最著名的厨房电器品牌，奥士达搅拌机、咖啡机、慢炖锅等产品均在美国市场占有率保持领先地位。 
爱得利,爱得利,“爱得利”是著名婴幼儿用品品牌，在全国同行业中享有较高的知名度。1975年，公司创始人郭廷梓先生在台湾新竹创立帝尔特企业有限公司，并于1977年注册“爱得利IVORY”商标，主营奶瓶，奶嘴，澡盆等婴儿产品，产品质量可靠，设计合理，精致优美。
盈科,盈科,盈科，汉语词语.读音：yíngkē，，解释:1、水充满坑坎。2、喻打下坚实基础
WT,WT,Wt是一个针对Web应用开发的C++widget库。Wt应用模型和现存的GUI库（例如微软的MFC或者TrolTech的Qt）是很相似的。同时，Wt为开发者隐藏了很多潜在的技术细节（HTMLForms/CGIJavaScriptAjax等等），就像Qt库如何隐藏潜在的X库或者微软的WindowsGUI的细节一样。
狮鹫,狮鹫,狮鹫（Griffin）是一种传说中的生物。长有狮子的躯体与利爪、鹰的头和翅膀，是相当有名的奇幻生物。因为狮子和鹰分别称雄于陆地和天空，狮鹫被认为是非常厉害的动物。《龙与地下城》、《英雄无敌》、《魔兽争霸》、《七龙纪》等游戏也有叫“狮鹫”角色。
陈创,陈创,陈创，1974年12月19日出生于中国江西省樟树市，演员。毕业于北京电影学院。2001年，参演张今标执导电影《毛泽东在1925》并在剧中饰演庞叔侃 。2002年，在蔡明、虞梦、李建华主演的爱情电视剧《党员马大姐》中饰演陈新星。2003年吕乐执导的电影《美人草》饰演林山。2005年，在古装电视剧《宝莲灯》中饰演哮天犬。2008年主演科幻喜剧《魔幻手机》并饰演黄眉大王 。2009年，在焦恩俊主演古装电视剧《宝莲灯前传》中饰演哮天犬 。2010年参演电视剧《为了新中国前进》 。2011年，在张国强、温峥嵘主演的爱情电视剧《只要你过得比我好》中饰演夏博文 。2012年，在朱泳腾、马雅舒主演的抗战电视剧《枪火》中饰演多吉 。2014年2月在舒畅、李滨、曹骏主演的科幻剧《魔幻手机2傻妞归来》饰演黄眉大王一角。2016年参演《诛仙》改编电视剧《青云志》。 
鲸奇,巨大奇迹,《巨大奇迹》是由美国环球影业发行的根据真实事件改编的剧情片，由肯·卡皮斯执导，德鲁·巴里摩尔和约翰·卡拉辛斯基等主演，于2012年2月3日在美国上映。影片讲述了小镇记者亚当和志愿者瑞秋两人在拯救北极圈灰鲸的活动过程中逐渐产生感情的故事。 
爱赏,爱赏,
宜格,宜格,宜格是合肥万聚贸易有限公司的自创品牌。其产品主要包括墙贴、无框画、照片墙等居家饰品。采用欧美的装饰理念，把西方时尚、简约的装饰风格融入到我们的生活当中，它的每一幅作品都阐释着对生活空间的独特理解。宜格的产品主要定位于高档现代装饰市场。产品以其时尚、典雅的风格深受广大顾客的欢迎。分销网络遍布全国20多个省市，并远销欧洲、北美、东南亚等地区。宜格凭借丰富的现代市场营销方发，不断发展壮大，现已发展成为颇具影响力的品牌。公司始终坚持以生产时尚、精致的居家饰品作为品牌的发展方向，引领大众走在时尚家居的前列。
KABEI,Kabei,Kabei（母亲Kabei），日剧名，是由导演山田洋次执导，吉永小百合、浅野忠信、坛玲、东三津五郎、志田未来主演的影视作品。于2008年上映。
联邦尚品道,联邦尚品道,嘉兴润邦电气科技有限公司座落于浙江嘉兴高铁南站旁，公司拥有“联邦尚品道”自主品牌，创始于2005年，主要从事集成吊顶、集成墙面、室内取暖、空气优化、LED照明、通风工程等产品的研发制造和销售，是集成装饰材料行业极具领袖潜力的重要企业。我们是价值和体验驱动型的公司，对居家生活充满热情。 我们打造的每款产品，都体现了我们创造更加美好的生活理念。联邦尚品道在中国拥有数百家工厂直供专卖店，联邦尚品道一直致力于减少中间环节，在中国设立了嘉兴和成都两个大型仓储中心，全国所有专卖店就近供货。“产品独道、价格公道、服务厚道”是联邦尚品道的宗旨，力求在大众最需要的地方竭尽全力。 
喜乐,喜乐,喜乐，汉语词汇。拼音：xǐlè释义：欢乐；高兴。喜闻乐见的简称。例如：“被人爸爸，我今天又被别人打趴下了。“伦伦呀，喜乐~！”意为喜闻乐见·即使面对不称心的事仍保持好的态度。
