Hodo,HODO,《HODO》是一款Android平台的应用。
ESSILOR,依视路,依视路起源于1849年法国巴黎，迄今已有160多年的历史。依视路专注于眼用光学领域，镜片完全融合人类视觉和光学科技，是世界视光行业的领导者。在全球56个国家有50700名员工，460个车房，销售网络遍布全球115个国家。
天下衣仓,天下衣仓,江苏天下衣仓信息科技有限公司坐落于美丽的常熟市（商城中路27号博京大厦二层），是一家集行销网、信息网、互联网“三网合一”的信息服务和营销服务的平台商，专业为各类服装企业提供科学、独到、有效的解决方案。
名门新娘,名门新娘,《名门新娘》是由北京世纪三友投资发行，东莞满堂彩制作、习辛导演执导的年代情感大戏，该剧由刘汉强、习雪、岳跃、葛蕾、林江国等联袂主演。该剧给日益火爆的谍战剧市场注入了一缕“清风”。剧中有着家族悬疑的一切亮点：爱情、冲突、谜团！突如其来的死亡、不可避免的调查……一波三折，时刻牵动着观众们紧张的每一根神经........ 
马图腾,马图腾,一部描写九〇后青年爱情与励志生活的长篇小说。作品通过三名属马同乡青年之间发生的故事，描写了他们纯真爱情与萌动性欲的相互交织，对美好理想执着追求与现实环境的奋力抗争，栩栩如生地塑造了被誉为“冷月马”、“火种马”、“追风马”一代青年人的典型形象。语言清新流畅，故事生动感人，结构严谨。是一部值得一读的好作品。
JIMENEZ,Jimenez,
PAUL SMITH,Paul Smith,PaulSmith是英国时尚品牌，其最受人追捧的便是内里的些许叛逆精神——表面是绅士却偷着“耍坏”——这也是设计师PaulSmith的英式幽默。
安可希,安可希,安可希是汉语词汇，拼音ānkěxī，指怎能希望别人的赏识。
构型,构型,构型（configuration）指的是一个有机分子中各个原子特有的固定的空间排列。比如：正·异·Z·E·R·S这种排列不经过共价键的断裂和重新形成是不会改变的。构型的改变往往使分子的光学活性发生变化。
锤子,锤子手机,锤子手机是由罗永浩创办的锤子科技研发的一款中高端智能手机。“锤子手机”是指由锤子科技（北京）有限公司设计与研发的一系列高端智能手机。锤子手机采用基于Android定制的SmartisanOS智能手机操作系统。 2016年10月18日晚19:30，锤子科技召开了2016年秋季新品发布会，正式推出了锤子品牌的第三代手机：SmartisanM1和SmartisanM1L。 
承翼,承翼,承翼是一个汉语词语，读音是chéngyì，是指鬼神护佑。
普莱斯,约翰·普莱斯,约翰·普莱斯，生于英国伦敦。使命召唤(CallofDuty)系列中重要的人物之一，ModernWarfare1(现代战争1)肥皂的长官，仍保持在前作中奔尼帽的穿戴形象。普莱斯的同名人物在多款IW的《使命召唤》系列游戏中均有登场。约翰·普莱斯在1，2，3（PS3版本），4，6，8部中他都是玩家的上级或队长。4，6，8部中的普莱斯是同一个人。1和2以及3的普莱斯是4，6和8的爷爷，因此被玩家戏称为“万年老不死”。同时他也是现代战争系列最后存活下来的三个主要人物（普莱斯、尼古莱、麦克米兰）之一。原型真人是SAS1980年伊朗大使馆人质解救行动指挥JohnMcAleese自行搜索他的视频johnMacleeseSAS-survivaltrainingdocumentaryBBC他的日记如何通过sas选拔
brioso,BRIOSO,BRIOSO是一个奥地利衬衫品牌，以简洁，舒适，纯粹的品牌风格定位都市白领。
茵宝,茵宝,茵宝（UMBRO）是拥有94年（1924年—2018年）历史的国际知名品牌，基于英国的足球服装生产商，一九二四年由英国堪富利士兄弟创立。兄弟俩以他们英文名（HUMPHREYBROTHERS）内的五个英文字母合并成UMBRO一词，后再配以钻石双菱形图案成为今日UMBRO的注册商标。2008年，全球最大运动鞋及服装制造商Nike宣布，同意以2.85亿英镑（约45亿港元），收购英国足球用品制造商Umbro。2012年10月24日，耐克以2.25亿美元的价格将旗下品牌茵宝出售给艾康尼斯品牌集团公司。NIKE发布2013年英格兰主场球衣，预示着UMBRO英格兰赞助商正式成为历史。
蓝河,蓝河,起点写手蝴蝶蓝所著的网游小说《全职高手》中的游戏角色，操作者为荣耀玩家许博远。荣耀第十区蓝溪阁公会会长，大号”蓝桥春雪“，是蓝溪阁五大高手之一。兴欣公会卧底账号”绝色“，时不时会在网游上被叶修调戏... 
白描,白描,白描是中国画技法名，指单用墨色线条勾描形象而不藻修饰与渲染烘托的画法；白描也是文学表现手法之一，主要用朴素简练的文字描摹形象。在文学创作上，“白描”作为一种表现方法，是指用最简练的笔墨，不加渲染，描画出鲜明生动的形象，这种写作手法就是白描。我国优秀的古典小说《水浒》、《三国演义》等多用白描的手法；鲁迅的作品，也有许多使用白描手法的范例。
ASOBIO,ASOBIO,ASOBIO（），一词是由意大利语和日语的复合词，代表改变、时尚和动感。中文名字是傲鸶（AoSi），由英语发音演变而来。品牌标志由一组名称的简单字母和一个三角符号组成，蕴涵着简约时尚的品牌内涵。三角符号意喻点击播放，传递着勇于创新，引领潮流的精神。
书雁,书雁,《书雁》是一款3D格斗的游戏，向往自由的她厌倦了养尊处优的优沃生活，开始了一场改变命运的旅行，成为了一名女侠，同时还是古老魔法力量的守护者。
狼痕,狼痕,
布桥,布桥,布桥(？——？）东汉时羌人首领。羌族。
蒂尔堡,蒂尔堡,蒂尔堡(Tilburg)，荷兰南部城市，位于荷兰勃拉帮特省的中心，在威廉米娜运河畔，是荷兰第六大城市，也是荷兰南部地区的商业中心和交通枢纽，地处阿姆斯特丹和布鲁塞尔的中间。人口15.4万（1982），学生占人口总数的13%。毛纺织工业中心，还有机械、电器、皮革等部门。有大学。
康博,康博,江苏康博集团公司是中国羽绒服装行业的排头兵。它地处文化名城常熟东部，距上海70多公里，地理位置得天独厚。康博集团实力雄厚，现有总资产62亿元，员工2500多人，占地面积7万多平方米。97年实现销售收入71亿元，利税8058万元。公司先后被授予“中国服装领域特殊贡献奖”、“全国服装行业利税百强（前十名）”企业。
OVV,OVV,OVV创立于2017年5月19日，由上海型度服饰有限公司投资 ，总部位于上海 。旗下有新经典系列NEWCLASSIC、精致休闲系列SMARTCASUAL、度假派对系列VACATION&EVENT三大主题系列产品 。首家旗舰店位于江苏南京德基广场 。
BLUE RIVER,blue river,BlueRiver（布鲁威尔）是新西兰南岛的绵羊奶品牌。
普罗蒙,普罗蒙,普罗蒙是法国的足球队员，身高180cm，一般是中场。
萨诗汀,萨诗汀,
阿诺顿,阿顿,阿顿（Adon）是《街头霸王》中的虚拟人物，是泰国拳手沙卡特的徒弟，第一款街霸中就已经露面，其后又在"少年街霸"中以完全不同的形象登场。阿顿主要的战斗技巧就是超快的速度和奇怪的招式。"少年街霸"中阿顿是可选角色中相当强悍的一位，在SF1中虽然是在沙卡特之前作为副关主出现，自负与傲慢就是阿顿的全部性格。
海伦托马斯,海伦·托马斯,海伦·托马斯，是白宫记者团资格最老的成员，她从1961年开始担任美联社驻白宫记者起，一共向10任美国总统提过问，而且以问题尖锐著称。这位美国新闻界的大姐大保持着美国新闻史上很多项纪录。她是美国国家新闻协会的第一个女官员，白宫记者协会第一个女会员和第一任女会长，美国名流俱乐部第一个女会员，1972年作为惟一的女记者还随尼克松总统访问过中国。2013年7月20日早晨在华盛顿的家中去世，享年92岁。
比达尼,比达尼,比达尼，摩洛哥足球运动员，曾参加非洲杯。
EITIE,eitie,爱特爱 是融合法国浪漫色彩与精致文化的时尚品牌，为热爱生活、追求自我的都市女性量身定做。
伊斯曼,伊斯曼,乔治·伊斯曼George·Eastman1854--1932美国发明家柯达公司创办人以及胶卷发明人
阿尼三,阿尼三,阿尼三是石狮市阿尼三服装贸易有限公司的商标。
Eight Guys,Eight Guys,韩国的时尚男装品牌8Guys就是以强调8种风格迥异形态的男生概念而打造。他们可以传统、前卫、搞怪、狂野各式各样，但不变的是传达热爱工作、享受生活、乐于和朋友分享身边任何美好事物的品牌态度。 
邦士度,邦士度,邦士度，成立于1982年，经营理念是我们经营的不仅是一种产品，更是一份对安全的执着和追求！
喜眠,喜眠,喜眠（hinos），中国知名睡衣品牌。喜眠创始人创办了中国最大的睡衣加工企业，为维多利亚的秘密、LaSenza、Next、M&S等国际知名品牌生产高档睡衣，产品销售到欧洲、美洲、大洋洲、中东、南非等八十多个国家和地区。喜眠拥有全球最好的睡衣生产设备、睡衣生产技术，而且有着最丰富的的经验。喜眠创办之初就与杜邦进行了全面的合作，并取得COOLMAX®在中国睡衣行业的独家授权。在实验了成百上千种材料之后，喜眠以coolmax材质为基础（全球最佳的高科技速干材料），开发出适合睡衣的全新速干面料——Hinos-CoolMaxEveryday。该面料在保持原有高效吸湿排汗性能的基础上，克服了速干面料质地较硬的缺陷，使喜眠速干睡衣比棉质更加柔软舒适。喜眠致力于开发适合中国人的全新速干睡衣，全心全意为了消费者的睡眠健康。速干睡衣在国外非常流行，但国内市场尚未得到开发，为了将这样的好产品带给中国消费者，提高现今高压下生活的人们的睡眠质量。近些年来欧美一些发达国家开始流行一中全新的功能性睡衣——速干睡衣，这种睡衣具有绝佳的吸湿排汗性能，能够使人在睡眠时保持干爽，大大提升睡眠质量，其具有的保健作用受到人们的热烈追捧。甚至美国总统奥巴马夫人也呼吁全美女性穿着速干睡衣。 
思威琪,思威琪,属于福建省莆田市双威体育用品有限公司旗下品牌，创立于2009年，集研发、生产、营销为一体的专业帆布鞋及滑板鞋品牌。秉持“创一流品质，建一流企业”之高尚理念与高度的社会责任感，不断开拓创新。品牌公司总投资额3000多万元，占地面积40000多平方米，拥有固定资产1000多万元，建有现代厂房28000平方米，生活区5000多平方米，拥有6条先进生产成型线，10条针车流水线，20多台裁断机，6组热压生产RB大底到成型生产，自产配套一条龙的先进设备。职工1500多人，其中开发技术和管理人员占168人，年产帆布鞋300多万双。
乔尼,乔尼,乔尼·梅格·多·纳西门托·奥索里奥，1983年出生，巴西足球运动员，身高1米85，场上可胜任中卫和后腰位置，防守预判好、头球能力也比较出众，2002年出道于巴西依道鲁俱乐部，2010年加盟南昌衡源（上海申鑫前身）俱乐部。
JZZ,JZZ,JZZ冷轧专用钢。
英特诺帝,英特诺帝,英特诺帝（Eterniti）是一家总部设在英国伦敦的汽车品牌，创立于2010年。中文名称多译作英特诺帝，一作英特尼迪。这家公司主要是由国际筹资成立，将瞄准豪华汽车市场，以满足消费者更豪华、更独特、更为客制化的需求为品牌宗旨。其首款车型Hemera便依此而生。英特诺帝表示，Hemera的定位是世界上首款〝SSUV〞（Super-SUV）。Hemera全手工打造而成的高品质内装、强悍的动力，及具有碳纤维复合材质的车身，都能让人拥有无上的尊荣感。Eterniti的团队由曾协助捷豹及宾利通过勒芒24小时耐力赛的AlastairMacqueen领导而成，是一个年轻而不青涩的汽车品牌。
Stephy,stephy,Stephy，常见英文名，通常指香港女歌手邓丽欣。她是人气少女组合Cookies成员之一，以唱歌为主要事业，亦涉猎电影、歌曲创作和写书等。
波波小姐,波波小姐,波波小姐创建于1982年，主要从事女性内衣配件研发生产，专业的研发及技术生产逾上百款女性内衣胸垫，成为国内外品牌之主要供应商，亦是台湾领先的女性内衣配件生产公司。 
恒源祥,恒源祥,恒源祥，首个以企业身份主办有“体坛奥斯卡”之称的“劳伦斯世界体育奖颁奖盛典”的中华老字号品牌企业，同时也是中国奥委会合作伙伴、赞助商。 2014年6月9日，劳伦斯学会主席埃德温·摩西正式宣布恒源祥集团成为2015劳伦斯世界体育奖主办方；2015年4月15日，劳伦斯颁奖盛典在上海大剧院盛大开幕，千余名体育界、文娱明星出席盛典。盛典当晚，恒源祥与奔驰、万国表等品牌成为了焦点，百年老字号攀上了品牌事业发展的新高峰。 
HT,HT,HT是HyperTransport的简称。HyperTransport本质是一种为主板上的集成电路互连而设计的端到端总线技术，目的是加快芯片间的数据传输速度。HyperTransport技术在AMD平台上使用后，是指AMDCPU到主板芯片之间的连接总线（如果主板芯片组是南北桥架构，则指CPU到北桥），即HT总线。类似于Intel平台中的前端总线（FSB），但Intel平台目前还没采用。
栀音,栀音,《栀音》是林夕亭mi创作的网络小说，发表于起点网。
Fiore,Fiore,《Fiore》是泽野弘之的音乐作品，收录在《BestOfSoundtrack【Emu】》专辑中。
毛毛雨,毛毛雨,天气现象中的降水现象。由直径小于0.5mm雨滴组成的稠密、细小而十分均匀的液态降水现象。
23区,23区,23区是日本恩瓦德onward旗下著名时尚女装品牌区，是以东京市内拥有23个区而命名的。
郝佳,郝佳,郝佳是《女生日记》中由刘美含扮演的没有缺点的中队长，很聪明。
庶,庶,庶是一个汉字，拼音为shù，最常见的释义是平民百姓。此外还有多种用法。庶总笔画数为11，部首为广。可作形容词、名词、动词、副词。
VERRI,Verri,VERRI是世界著名服装品牌之一，由世界五大时装设计师之一里安纳度精心设计一系列全面性高级绅仕服饰。他跟大名鼎鼎的GIANNIVERSACE是表兄弟，在其表兄遇难之后，他离开效力多年的VERSACE，自创出VERRI这个品牌。
coSY,cosy,cosy是一个英语单词，意为舒适的、惬意的。
佳人苑,佳人苑,佳人苑是西纳维思（杭州）服装服饰有限公司旗下女装品牌，佳人苑设计理念上来自江南的风情和生活的文化。在色彩的选用上，以传统的白、粉、兰、黄、黑、紫、咖为主色系，并结合当前最为流行的颜色，营造一种时尚、大路的服饰经典。
DORA THE EXPLORER,Dora The Explorer,
CREAZIONI IL CONCETTO DELLO SPAZIO,CREAZIONI IL CONCETTO DELLO SPAZIO,
骐蔓,骐蔓,“骐蔓”是厦门骐蔓集团自主创立的本土休闲服品牌。骐蔓集团公司于2011年创建于中国福建厦门，主要研发、生产、销售骐蔓品牌休闲系列服饰。
古星,古星,《古星》是浮生依梦发表在晋江文学城的网络小说。
SL,SL,S.L专注于雅痞男士服饰、皮具打造，坚持“设计先导，品质先行”的设计哲学，注重皮革的优良品质及传统的意式手工，秉承简约设计又体现轻奢品位的设计理念。
Mallory,Mallory,Mallory（1862年至1941年）是在波士顿市立医院病理科教授在哈佛医学院，后为之Mallory小体被命名为美国病理学家。
初情,初情,《初情》是连载于晋江文学城的小说，作者是酸果子。
诗乐,诗乐,中国古代诗歌《诗经》所用的音乐。《诗经》305篇，不仅奠定了中国古代文学现实主义的基础，而且大都是可以上口的歌曲，在音乐上也产生了巨大的影响，是中国古代最珍贵的艺术遗产之一。
Does,does,DOES（日语：ドーズ），日本三人摇滚乐队，2000年于日本福冈组成。2006年9月签约日本索尼音乐娱乐旗下唱片厂牌Ki/oonMusicInc.正式出道。DOES乐队早在在2000年就已经成立了，并在此进行了多次音乐制作及俱乐部活动。其间有几次停止活动，直到2005年8月，DOES的活动才正式开始。
三彩马,三彩马,唐三彩是在高宗时期才开始生产的，因为在此之前的墓葬中没有发现过三彩器。高宗时唐王朝国力日渐强盛，统治阶级的奢侈之风也愈演愈烈。达官显贵们期盼死后仍能享受荣华富贵，因而在自己的墓穴中总要随葬大批珍宝和三彩器，从而使厚葬之风日盛。
港莎,港莎,企业概述浙江港莎针织品有限公司系中国纺织品商业协会内衣委员会理事单位，创建于2001年，同年“港莎”品牌注册成功，是一家集高档纯棉内衣、提花内衣、保暖内衣、盒裤、袜品、文胸、家居服等系列针织品研发、生产、销售为一体的综合性公司。
黑田,黑田,黑田，主要产于下坂的黑色田坑石。或指没有登记在国家地亩册子上的田地。
姬龙雪,姬龙雪,GuyLaroche法语名：，中文名：姬龙雪，也有译为：纪·拉罗什姬龙雪(GuyLaroche)的设计向以高贵优雅见称，浓厚的法国浪漫色彩，展示了女性高雅脱俗的慑人气质；2004年姬龙雪(GuyLaroche)以全新面貌在香港推出秋冬系列，注入独立不羁的时尚元素，演绎出现代女性温柔硬朗并重的独特个性，是贵丽浪漫与完美体态的艺术结晶。
SCN,SCN,SCN（SystemChangeNumber简称SCN）是当Oracle数据库更新后，由DBMS自动维护去累积递增的一个数字。在Oracle中，有四种SCN，分别为：系统检查点SCN、数据文件检查点SCN、启动SCN、终止SCN。
CPI,消费物价指数,CPI是居民消费价格指数（consumerpriceindex）的简称。居民消费价格指数，是一个反映居民家庭一般所购买的消费品和服务项目价格水平变动情况的宏观经济指标。它是在特定时段内度量一组代表性消费商品及服务项目的价格水平随时间而变动的相对数，是用来反映居民家庭购买消费商品及服务的价格水平的变动情况。居民消费价格统计调查的是社会产品和服务项目的最终价格，一方面同人民群众的生活密切相关，同时在整个国民经济价格体系中也具有重要的地位。它是进行经济分析和决策、价格总水平监测和调控及国民经济核算的重要指标。其变动率在一定程度上反映了通货膨胀或紧缩的程度。一般来讲，物价全面地、变化对比、持续地上涨就被认为发生了通货膨胀。2015年9月10日，国家统计局公布的8月份居民消费价格CPI同比上涨2.0%，创2015年8月以来新高，但同时公布的工业生产者出厂价格PPI却同比下降5.9%，跌幅超出预期，创六年新低，毫无悬念地第42个月处于负增长区间。CPI与PPI差值达到7.9个百分点，为1994年以来最大差值。CPI与PPI的背离走势，考验着宏观调控的智慧。业界一个基本判断是，中国经济面临的通缩风险比通胀风险更大，需要货币等调控手段导向上继续放松。且央行等部门也已经表态，不会因为单一商品价格走势影响对于整体价格水平的判断。 
007,007,007 是风靡全球的一系列谍战电影，007不仅是影片的名称，更是主人公特工詹姆斯·邦德的代号。詹姆斯·邦德（英语：JamesBond）是一套小说和系列电影的主角名称。小说原作者是英国作家、前MI6特工伊恩·弗莱明。在故事里，邦德是英国情报机构军情六处的间谍，代号007，被授予可以除去任何妨碍行动的人的权力。此外，詹姆斯·邦德总是有美女相伴，那些女士被称为“邦女郎”。 他冷酷但多情，机智且勇敢，总能在最危难时化险为夷，也总能邂逅一段浪漫的爱情。历任007都是大帅哥，再加上性感漂亮的邦女郎，以及扣人心弦的精彩剧情，让这部影片直至今天仍被广大影迷所热爱。第一部007电影于1962年10月5日公映后，007电影系列风靡全球，直到今天历经五十余年长盛不衰。 
玛伦萨,玛伦萨,MANZA（玛伦萨）是英国贵族首选的居家服饰品牌之一，2011年传播到中国并定位为中国高端居家服饰品牌。同年5月正式授予广东洪兴实业有限公司下属广州市玛伦萨商贸有限公司在中国区域独家运营。玛伦萨专注于高雅、时尚女性的居家生活，并为其提供一系列家居生活服饰。产品以时尚、靓丽、高雅、简洁为核心风格并融入欧州贵族性感风情元素，充分体现高雅女性的生活品位、内涵及修养。玛伦萨关注的不仅仅是衣服，更关注的是通过居家服饰把高雅、时尚女性的居家生活氛围营造得更加温馨、和谐、轻松、时尚、靓丽。
远行客,远行客,TOPSKY远行客，户外运动用品专业安全舒适时尚的户外运动装备的生产商。所有产品的开发均源自于户外运动爱好者的要求，由来自世界各地的专业设计师设计。经历多年的户外装备加工经验，2006年我们创造了自己的品牌，四年以来深受户外运动爱好者的好评，产品远销全国以及世界各地。户外装备强大的开发团队，国际一流的用料，近乎完美的细节，最严格的技术测试和实地测试把关，让我们的产品更有信心面对任何恶劣环境的挑战。
阿米尼,阿米尼,“阿米尼”（EMMELLE）是欧洲流行品牌，尤其在英国更是家喻户晓，1985年，中华集团将“阿米尼”引进中国市场，它的独特风格和优异品质很快就广受欢迎。现在，“阿米尼”这久经考验的名牌正以真正的实力，深深吸引着国内外追求潮流和品质的用家。
缪缪,Miu Miu,MiuMiu（缪缪）率性且充满实验风格，与Prada是同一设计理念的另一种表达方式。MiuMiu成立于1993年，注重优雅精致且不乏趣味，将女性气质发挥到极致。通过成衣、皮具、眼镜、具备突破意义的广告大片，及有独特视角的女人的故事短片系列，使品牌呈现了现代女性的多面特质。
FOLUNSI,folunsi,FOLUNSI是一个意大利原创高级商务休闲男装品牌，由希腊裔名门望族艾利泰斯（Elytis）、艾萨斯（IsaccElytis），于1958年在意大利米兰创建。
吴良材,吴良材,吴良材名原栋，以字行。澉浦人。少时家贫，父远游不归，遂四出寻访，背负木版上刻父容，沿途印刷张贴，历经数年，才知父已去世。其千里寻父之事，当地传为美谈。良材后供职于上海澄名斋商号，主营珠宝，兼营眼镜。清嘉庆十一年(1806)，商号始由良材经营，时眼镜业蒸蒸日上，遂专营眼镜，更名为吴良材眼镜店。
尚格良品,尚格良品,S.L，尚格良品品牌名称源于英文SIGNAL-LAMP的字母缩写，为灯塔之意。灯塔在不同的文化中都将其寓意为信号与指南针，指引着人生前进的方向，灯塔象征着希望，意括无穷！这也是S.L坚持的信仰。是广州尚格良品网络科技有限公司创建。S.L是专为有智慧、个性与自信生活态度的男性所定制打造的品牌，专注于精英男士生活。打造简约而又富有时尚气息的优质产品，彰显男士沉稳、睿智、精干、优雅随性的魅力。作为皮具的创领品牌，S.L在男士箱包行业中需起到领袖的作用，引领男士向精品生活行进。
英范,英范,英范是汉语词语，读音为yīngfàn，意思是美好的典范。
DIDIBOY,didiboy,迪迪博迩（DIDIBOY）一直以总结都市青年这种在高速的生活节奏和工作压力下渴望个性放飞和自由生活状态的追求为产品开发理念。
OAKLEY,oakley,奥克利（Oakley），是美国加利福尼亚州旧金山湾区的东南部的康特拉科斯塔郡（即SantaClaraCounty，又称圣克拉拉县）下属的一个城市。于1999年7月1日建市。城市面积约为41.842平方公里，陆地面积41.059平方公里。人口(2010年)为35432，人口密度850人/平方公里。其中白人占65.5%、亚裔占10.96%、非裔占9.36%。奥克利已经发展成为有景观公园，丰富的娱乐机会，购物中心商业的一个快速增长的硅谷重镇。2014年，奥克利市与武汉市黄陂区结为友好城市。
维多利亚的秘密,维多利亚的秘密,维多利亚的秘密（英文：Victoria'sSecret，简称“VS”）是美国的一家连锁女性成衣零售店，主要经营内衣和文胸等。产品种类包括了女士内衣、文胸、内裤、泳装、休闲女装、女鞋、化妆品及各种配套服装、豪华短裤、香水化妆品以及相关书籍等，是全球最著名的、性感内衣品牌之一。2002年它推出的镶嵌宝石、价值1000万美元的胸罩更是轰动美国和巴西。
天谜,天谜,《天谜》是连载于纵横中文网的小说，作者是浪客天涯。
鳇鱼,鳇鱼,鳇(huáng)鱼，学名为达氏鳇（riverbeluga）。主产于黑龙江水域，故乡为黑龙江，身躯庞大，一般体重50～100公斤，大者可达1000公斤，为大型食肉性鱼类。以其寿命长，身体大，食量多，力量强而著称，被誉为“活化石”“水中大熊猫”有淡水鱼王的美称。现存于中国与俄罗斯的界江——黑龙江从上游至下游乌苏里江、松花江下 游均有分布。1998年联合国华盛顿公约将鲟鳇鱼认定为濒危物种。 
灵镜,灵镜,灵镜是维阿时代科技有限公司于2014年发布的产品；目前包括灵镜小白和灵镜小黑两条产品线； 主要针对虚拟现实领域进行可穿戴设备的研发。配备一块5.7寸1080P显示屏。灵镜小白2015年5月登陆众筹进行首发， 灵镜小黑预计于2015年底上市。 
BISOU BISOU,bisou bisou,1989年，MicheleBohbot创立了BISOUBISOU女装品牌，主要帮助坚强和柔弱的女性释放内心深处的情感。Bisou在法语里指“（脸颊上的）亲吻”，常用于年轻人之间。BISOUBISOU特别的针织和时尚的款式给巴黎街头带来时尚清新的气息。为年龄在18-35岁的女性设计，她们喜欢那些适合不同场合的漂亮时装。在专卖店，商场都有出售，遍及美国，欧洲，南美，中东，亚洲，澳大利亚，且售价贴合当地实际。
隐蔽者,隐蔽者,《隐蔽者》是2011年四川文艺出版社出版的图书，作者小撒。全部情节均基于历史真实事件创作。全景还原上世纪四十年代延安生活的全貌。
埃凯尔,埃凯尔,埃凯尔是一位后卫球员，曾在1958年代表国家队参加过5声比赛，其中4场为主场一场为客场。但因为其担任后卫在这几次比赛中并未有进球。
Taro,taro,东京港突然出现了超级怪兽度林卡。青年东光太郎挺身而出，孤身奋战击败了怪兽，得到宇宙科学警备队重视，成为ZAT警备队一员。再一次与怪兽战斗中，献出了生命，这时奥特之母将泰罗的生命给予了东光太郎。奥特之母和奥特兄弟们陆续登场，表现了现代神话故事的魅力所在。
Mmuses,mmuses,mmuses是一家内衣有限公司。可以进行在线或电话产品订购，再由快递送货上门。
博雅,博雅,未见已有词书收录。或可解释为：丰丽博敞。（王逸《鲁灵光殿赋》）。岂必褒衣博带。（《淮南子·泛论》）《学记》曰：“不学博依，不能安诗。”博依注作譬喻解。此诗之所以重比兴也。韦正己曰：“歌不曼其声则少情，舞不长其袖则少态。”此诗之所以贵情韵也。对于为人来说就是，博我以文，约我以礼。《论语·子罕》
君遇,君遇,
恩裳,恩裳,INSUN恩裳以建筑般的简约结构为设计特色，以低调的黑、白、灰、驼主色营造高雅视觉，其优雅的线条，精美的裁剪，加之在其一直推崇的实用主义哲学基础上，注重众多华丽细节的设计博得了许多国内精英女性阶层的喜爱。与身和谐，与心自由的设计理念和对生活的热情是“INSUN”诠释时尚的根本动力。
贞正,贞正,贞正，汉语词语，拼音为zhēnzhènɡ，意思是指坚贞端方。
景宜,景宜,景宜1956年生，白族。云南大理人。中共党员。1982年毕业于鲁迅文学院。1972年参加工作。历任大理白族自治州歌舞团演员、创作员，中国民族音像出版社副社长，中国民族报社社长助理，中国社科院少数民族妇女文学交流中心主任，中国电视艺术家协会制片委员会委员。1977年开始发表作品。1986年加入中国作家协会。著有小说集《谁有美丽的红指甲》，长篇报告文学《金色喜玛拉雅》、《节日与生存》、《东方大峡谷》，电视剧剧本《茶马古道》、《茶王》，散文集《茶马古道和一个白族女人》，长篇小说《白族世家》。小说集《谁有美丽的红指甲》及同名中篇小说获第二、四届全国少数民族文学创作一等奖。2017年2月20日，获得第十一届电视制片业“十佳电视剧编剧”奖。 
豪贤,豪贤,
平野,平野,平野，原名张大晖，浙江温州人，画家、翻译家。
百富,百富,百富（TheBalvenie），来自历史悠久、品质出众的苏格兰产区的格兰父子洋酒公司。格兰父子源自1886年，是苏格兰最古老、最富盛名的威士忌公司之一，其产品行销全球180多个国家，为英国王室贵族和全世界威士忌爱好者所喜爱。截止2010年，格兰父子已七度获选国际葡萄酒和烈酒大赛（IWSC）年度最佳酒厂。百富的独特品质，源自其独特的传统手工技艺：依然在自有的麦田里种植大麦，以传统铺地发芽制作麦芽，由桶匠悉心照看所有的橡木桶，由铜匠精心维护着铜制的蒸馏器。由纯手工打造出来的酒质，是追求高产量、高效率的现代化酒厂无法比拟的。百富对品质的追求还体现在单一纯麦威士忌上，区别于产量高、价格低的混合威士忌，单一纯麦威士忌稀有而珍贵，只有大概3%品质臻于完美巅峰的麦芽威士忌，才会被挑选出来装瓶为单一纯麦威士忌。
fairy,Fairy,
古朗特,古朗特,古朗特是在考勒斯星球上被克洛根军阀奥奇尔创造出来的，这个人本来致力于研究基因噬体。
暴龙,霸王龙,霸王龙即雷克斯暴龙（TyrannosaurusRex），生存于白垩纪末期的马斯特里赫特阶(MAA)距今约6850万年到6500万年的白垩纪最末期，是白垩纪-第三纪灭绝事件前最后的非鸟类的恐龙种类之一。化石分布于北美洲的美国与加拿大，是最晚灭绝的恐龙之一。霸王龙属暴龙科中体型最大的一种。体长约11.5-14.7米。平均臀部高度约4米。最高臀高可达到5.2米左右，头高最高近6米。平均体重约9吨，(生态平均约7.6吨)，最重14.85吨，头部长度最大约1.55米。咬合力一般9万牛顿—12万牛顿，嘴巴末端最大可达20万牛顿左右，同时也是体型最为粗壮的食肉恐龙。霸王龙的属名在古希腊文中意为「残暴的蜥蜴王」，种名在拉丁文中意为国王。有些科学家认为亚洲的勇士特暴龙（Tarbosaurusbataar）是暴龙超科的第一个有效种，而其他科学家则认为特暴龙是独立的属。除此之外还有许多暴龙科的种已被提出，但它们多被认为是暴龙的异名，或被分类于其他属。
PATHFINDER,开拓者,《开拓者》是马库斯·尼斯佩尔执导，穆恩·布拉得古德、克兰西·布朗等主演的动作片。根据1987年的挪威电影《白夜迷踪》改编而来。讲述了维京人在美洲实施暴力后遭到印第安土著人的反抗，仓皇中将一维京小男孩留下，印地安人将孩子抚养长大。15年后，长大了的维京男孩生活的部族再度遭遇北欧海盗的袭击，一面是具有血缘关系的亲人，一面是抚养自己长大的恩人，维京男孩也陷入到艰难的抉择之中。
澳贝琳,澳贝琳,
eva ouxiu,EVA OUXIU,EVAOUXIU是一个品牌，强调奢华与经典、注重细节，时装里的休闲、休闲里的时尚。
